AF3,F7,F3,FC5,T7,P7,O1,02,P8,T8,FC6,F4,F8,AF4,index
4313.33,4008.72,4261.03,4090.26,4342.56,4626.15,4078.46,4633.85,4237.95,4274.87,4236.41,4304.62,4633.33,4386.67,0
4316.92,4016.92,4262.56,4101.03,4344.62,4632.31,4082.05,4643.08,4248.21,4286.15,4250.26,4311.79,4642.56,4390.77,1
4321.03,4018.46,4262.56,4107.69,4345.13,4639.49,4088.72,4645.64,4251.79,4284.1,4248.21,4312.82,4640.51,4387.69,2
4318.97,4009.23,4265.13,4102.56,4339.49,4637.95,4090.26,4649.23,4255.9,4283.08,4240.0,4311.79,4635.9,4369.23,3
4305.13,3997.95,4265.64,4093.85,4331.79,4635.9,4088.72,4650.26,4252.31,4287.69,4237.44,4308.21,4628.72,4355.38,4
4284.1,3986.15,4256.41,4083.08,4329.74,4638.97,4090.26,4647.69,4243.59,4278.97,4227.18,4292.82,4611.28,4354.36,5
4272.82,3974.36,4247.18,4073.33,4332.31,4637.44,4091.28,4641.03,4233.85,4260.0,4209.23,4275.38,4596.92,4347.69,6
4275.9,3977.95,4247.69,4078.97,4334.87,4631.79,4084.1,4626.15,4217.44,4246.67,4203.59,4271.79,4594.36,4343.59,7
4283.59,3991.28,4251.79,4090.26,4337.95,4627.69,4080.0,4611.79,4200.51,4237.95,4208.21,4275.38,4594.36,4353.33,8
4291.79,3999.49,4256.41,4093.33,4344.62,4626.15,4082.05,4607.69,4200.51,4235.38,4209.74,4278.46,4599.49,4364.1,9
4304.62,4008.21,4263.08,4097.44,4350.77,4626.67,4080.0,4609.23,4211.28,4243.59,4212.82,4282.05,4612.31,4367.69,10
4316.92,4021.03,4264.1,4105.13,4349.74,4627.69,4075.38,4614.87,4215.38,4252.31,4221.03,4285.64,4620.51,4371.28,11
4317.95,4023.08,4260.0,4106.15,4345.64,4627.18,4078.46,4623.59,4218.97,4255.38,4225.64,4287.69,4625.64,4379.49,12
4314.36,4018.97,4260.0,4105.13,4348.21,4629.23,4083.59,4627.69,4225.64,4258.46,4227.18,4290.77,4629.74,4383.59,13
4315.9,4022.05,4264.1,4109.23,4351.79,4633.33,4084.62,4628.72,4226.67,4263.59,4229.74,4295.9,4629.74,4377.95,14
4313.33,4024.1,4265.64,4110.26,4343.08,4634.36,4084.62,4630.77,4222.05,4261.54,4226.67,4293.33,4622.05,4364.1,15
4301.54,4017.95,4257.95,4105.13,4330.26,4626.15,4078.97,4626.67,4218.97,4254.36,4217.95,4283.59,4610.77,4357.95,16
4302.05,4017.95,4254.36,4107.18,4334.87,4618.46,4071.79,4620.0,4221.54,4251.79,4217.95,4284.62,4611.28,4365.13,17
4313.33,4026.15,4262.56,4112.82,4343.59,4620.51,4073.85,4626.67,4230.77,4260.51,4227.69,4294.36,4621.54,4368.21,18
4308.72,4026.15,4266.15,4109.23,4335.38,4625.64,4078.97,4635.9,4237.44,4269.74,4229.74,4292.31,4618.97,4357.44,19
4294.36,4020.51,4255.38,4105.13,4326.67,4623.59,4081.03,4633.33,4228.21,4267.18,4215.9,4277.95,4602.56,4344.62,20
4290.26,4014.87,4246.67,4104.1,4330.26,4626.15,4083.59,4627.69,4212.82,4251.79,4204.1,4270.26,4591.79,4340.51,21
4293.33,4009.74,4247.69,4101.03,4334.87,4629.74,4085.13,4623.59,4208.72,4241.54,4204.62,4273.85,4591.79,4341.54,22
4288.21,4006.15,4248.72,4097.44,4333.33,4624.1,4081.03,4615.9,4206.15,4239.49,4204.1,4271.79,4592.82,4338.97,23
